date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:51	35175/35175	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2021:22:34%20GMT	http://fastwayservices.co/tracking_files/analytics.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/analytics.js.download	(from http://fastwayservices.co/tracking.php)
23:19:54	43960/43960	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/gtm.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/gtm.js.download	(from http://fastwayservices.co/tracking.php)
23:19:55	36868/36868	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2021:22:34%20GMT	http://fastwayservices.co/tracking_files/bootstrap.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/bootstrap.min.js.download	(from http://fastwayservices.co/tracking.php)
23:19:55	21584/21584	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/jquery.validate.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/jquery.validate.min.js.download	(from http://fastwayservices.co/tracking.php)
23:19:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2019%20Mar%202021%2022:19:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/fastway-php/Fastway-php/www.googletagmanager.com/gtm.1a5445.delayed	(from http://fastwayservices.co/tracking.php)
23:19:57	2249/2249	---M--	200	added ('OK')	text/plain	date:Sat,%2005%20May%202018%2021:22:34%20GMT	http://fastwayservices.co/tracking_files/f(1).txt	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/f(1).txt	(from http://fastwayservices.co/tracking.php)
23:19:57	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20Mar%202021%2022:19:58%20GMT	http://fastwayservices.co/tracking_files/track.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/track.js.1d.delayed	(from http://fastwayservices.co/tracking.php)
23:19:58	5582/5582	---M--	200	added ('OK')	text/css	date:Tue,%2008%20May%202018%2023:59:06%20GMT	http://fastwayservices.co/tracking_files/track-trace.css	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/track-trace.css	(from http://fastwayservices.co/tracking.php)
23:19:58	95790/95790	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/jquery.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/jquery.min.js.download	(from http://fastwayservices.co/tracking.php)
23:19:58	673/673	---M--	200	added ('OK')	image/gif	date:Sat,%2005%20May%202018%2021:22:34%20GMT	http://fastwayservices.co/tracking_files/circle-loader-blue.gif	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/circle-loader-blue.gif	(from http://fastwayservices.co/tracking.php)
23:19:59	2573/2573	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/logoParcelConnectSml.png	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/logoParcelConnectSml.png	(from http://fastwayservices.co/tracking.php)
23:20:00	1239/1239	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/icon_facebook.png	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/icon_facebook.png	(from http://fastwayservices.co/tracking.php)
23:20:01	32100/32100	---M--	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2022:20:01%20GMT	http://fastwayservices.co/index.php/	C:/fastway-php/Fastway-php/fastwayservices.co/index.php/index.html	(from http://fastwayservices.co/tracking.php)
23:20:02	47332/47332	---MC-	200	added ('OK')	text/javascript	date:Fri,%2005%20Feb%202021%2021:33:27%20GMT	https://www.google-analytics.com/analytics.js	C:/fastway-php/Fastway-php/www.google-analytics.com/analytics.js	(from http://fastwayservices.co/tracking.php)
23:20:03	0/0	---M--	200	added ('OK')	text/html	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/saved_resource	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/saved_resource	(from http://fastwayservices.co/tracking.php)
23:20:03	93376/93376	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2019%20Mar%202021%2022:20:01%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/fastway-php/Fastway-php/connect.facebook.net/en_US/fbevents.js	(from http://fastwayservices.co/tracking.php)
23:20:05	122247/122247	---M--	200	added ('OK')	text/css	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/bootstrap.min.css	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/bootstrap.min.css	(from http://fastwayservices.co/index.php)
23:20:05	27826/27826	---M--	200	added ('OK')	text/css	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/fastway.css	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/fastway.css	(from http://fastwayservices.co/index.php)
23:20:07	37341/37341	---M--	200	added ('OK')	text/css	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/font-awesome.css	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/font-awesome.css	(from http://fastwayservices.co/index.php)
23:20:08	36641/36641	---M--	200	added ('OK')	text/html	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/js	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/js.html	(from http://fastwayservices.co/index.php)
23:20:10	56735/56735	---M--	200	added ('OK')	text/html	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/143510159313672	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/143510159313672.html	(from http://fastwayservices.co/index.php)
23:20:13	13119/13119	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/insight.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/insight.min.js.download	(from http://fastwayservices.co/index.php)
23:20:14	15670/15670	---M--	200	added ('OK')	text/plain	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/f.txt	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/f.txt	(from http://fastwayservices.co/index.php)
23:20:16	39794/39794	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/fbevents.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/fbevents.js.download	(from http://fastwayservices.co/index.php)
23:20:19	35175/35175	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/analytics.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/analytics.js.download	(from http://fastwayservices.co/index.php)
23:20:22	43960/43960	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/gtm.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/gtm.js.download	(from http://fastwayservices.co/index.php)
23:20:25	36868/36868	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/bootstrap.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/bootstrap.min.js.download	(from http://fastwayservices.co/index.php)
23:20:26	21584/21584	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/jquery.validate.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/jquery.validate.min.js.download	(from http://fastwayservices.co/index.php)
23:20:27	2053/2053	---M--	200	added ('OK')	text/plain	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/f(1).txt	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/f(1).txt	(from http://fastwayservices.co/index.php)
23:20:29	190747/190747	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20May%202018%2021:22:36%20GMT	http://fastwayservices.co/tracking_files/ss_banner_v2.jpg	C:/fastway-php/Fastway-php/fastwayservices.co/tracking_files/ss_banner_v2.jpg	(from http://fastwayservices.co/tracking.php)
23:20:30	95790/95790	---M--	200	added ('OK')	application/javascript	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/jquery.min.js.download	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/jquery.min.js.download	(from http://fastwayservices.co/index.php)
23:20:36	181504/181504	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20May%202018%2020:53:28%20GMT	http://fastwayservices.co/index_files/1y4a3655_pearl_tarik_arzan_matt_laura_vans.jpg	C:/fastway-php/Fastway-php/fastwayservices.co/index_files/1y4a3655_pearl_tarik_arzan_matt_laura_vans.jpg	(from http://fastwayservices.co/index.php)
23:20:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Mar%202021%2022:20:29%20GMT	https://www.fastway.com.au/media/1424/homepagebannerdeliveringgoods.jpg	C:/fastway-php/Fastway-php/www.fastway.com.au/media/1424/homepagebannerdeliveringgoods.34.delayed	(from http://fastwayservices.co/index.php)
